"NGA","PolID","Time","uniq","Dupl","Pastor"
"Latium","ItLatCA",-3600,"y","n",3
"Latium","ItLatCA",-3500,"n","n",3
"Latium","ItLatCA",-3400,"n","n",3
"Latium","ItLatCA",-3300,"n","n",3
"Latium","ItLatCA",-3200,"n","n",3
"Latium","ItLatCA",-3100,"n","n",3
"Latium","ItLatCA",-3000,"n","n",3
"Latium","ItLatCA",-2900,"n","n",3
"Latium","ItLatCA",-2800,"n","n",3
"Latium","ItLatCA",-2700,"n","n",3
"Latium","ItLatCA",-2600,"n","n",3
"Latium","ItLatCA",-2500,"n","n",3
"Latium","ItLatCA",-2400,"n","n",3
"Latium","ItLatCA",-2300,"n","n",3
"Latium","ItLatCA",-2200,"n","n",3
"Latium","ItLatCA",-2100,"n","n",3
"Latium","ItLatCA",-2000,"n","n",3
"Latium","ItLatCA",-1900,"n","n",3
"Latium","ItLatBA",-1800,"y","n",3
"Latium","ItLatBA",-1700,"n","n",3
"Latium","ItLatBA",-1600,"n","n",3
"Latium","ItLatBA",-1500,"n","n",3
"Latium","ItLatBA",-1400,"n","n",3
"Latium","ItLatBA",-1300,"n","n",3
"Latium","ItLatBA",-1200,"n","n",3
"Latium","ItLatBA",-1100,"y","n",3
"Latium","ItLatIA",-1000,"y","n",3
"Latium","ItLatIA",-900,"n","n",3
"Latium","ItLatIA",-800,"n","n",3
"Latium","ItRomRg",-700,"y","n",3
"Latium","ItRomRg",-600,"y","n",3
"Latium","ItRomER",-500,"y","n",3
"Latium","ItRomER",-400,"y","n",3
"Latium","ItRomER",-300,"y","n",3
"Latium","ItRomMR",-200,"y","n",3
"Latium","ItRomLR",-100,"y","n",3
"Latium","ItRomPr",0,"y","n",3
"Latium","ItRomPr",100,"y","n",3
"Latium","ItRomPr",200,"y","n",3
"Latium","TrRomDm",300,"y","y",3
"Latium","ItRomWe",400,"y","n",3
"Latium","ItOstrg",500,"y","n",3
"Latium","ItRav**",600,"y","n",3
"Latium","ItRav**",700,"y","n",3
"Latium","ItStPet",800,"y","n",3
"Latium","ItStPet",900,"y","n",3
"Latium","ItPapEM",1000,"y","n",3
"Latium","ItPapEM",1100,"y","n",3
"Latium","ItPapHM",1200,"y","n",3
"Latium","ItPapHM",1300,"y","n",3
"Latium","ItPapRn",1400,"y","n",3
"Latium","ItPapRn",1500,"y","n",3
"Latium","ItPapM1",1600,"y","n",3
"Latium","ItPapM2",1700,"y","n",3
"Latium","ItPapM2",1800,"y","n",3
"Paris Basin","FrBeakr",-3200,"y","n",2
"Paris Basin","FrBeakr",-3100,"n","n",2
"Paris Basin","FrBeakr",-3000,"n","n",3
"Paris Basin","FrBeakr",-2900,"n","n",3
"Paris Basin","FrBeakr",-2800,"n","n",3
"Paris Basin","FrBeakr",-2700,"n","n",3
"Paris Basin","FrBeakr",-2600,"n","n",3
"Paris Basin","FrBeakr",-2500,"n","n",3
"Paris Basin","FrBeakr",-2400,"n","n",3
"Paris Basin","FrBeakr",-2300,"n","n",3
"Paris Basin","FrAtlBA",-2200,"y","n",3
"Paris Basin","FrAtlBA",-2100,"n","n",3
"Paris Basin","FrAtlBA",-2000,"n","n",3
"Paris Basin","FrAtlBA",-1900,"n","n",3
"Paris Basin","FrAtlBA",-1800,"n","n",3
"Paris Basin","FrAtlBA",-1700,"n","n",3
"Paris Basin","FrAtlBA",-1600,"n","n",3
"Paris Basin","FrAtlBA",-1500,"n","n",3
"Paris Basin","FrAtlBA",-1400,"n","n",3
"Paris Basin","FrAtlBA",-1300,"n","n",3
"Paris Basin","FrAtlBA",-1200,"n","n",3
"Paris Basin","FrAtlBA",-1100,"n","n",3
"Paris Basin","FrHallA",-1000,"y","n",3
"Paris Basin","FrHallB",-900,"y","n",3
"Paris Basin","FrHallB",-800,"y","n",3
"Paris Basin","FrHallC",-700,"y","n",3
"Paris Basin","FrHallD",-600,"y","n",3
"Paris Basin","FrHallD",-500,"n","n",3
"Paris Basin","FrTeneA",-400,"y","n",3
"Paris Basin","FrTeneB",-300,"y","n",3
"Paris Basin","FrTeneB",-200,"y","n",3
"Paris Basin","FrTeneC",-100,"y","n",3
"Paris Basin","ItRomPr",0,"y","y",3
"Paris Basin","ItRomPr",100,"n","y",3
"Paris Basin","ItRomPr",200,"n","y",3
"Paris Basin","TrRomDm",300,"y","y",3
"Paris Basin","TrERom*",400,"y","y",3
"Paris Basin","FrMervE",500,"y","n",3
"Paris Basin","FrMervM",600,"y","n",3
"Paris Basin","FrMervL",700,"y","n",3
"Paris Basin","FrCarlE",800,"y","n",3
"Paris Basin","FrCarlL",900,"y","n",3
"Paris Basin","FrCaptE",1000,"y","n",3
"Paris Basin","FrCaptE",1100,"y","n",3
"Paris Basin","FrCaptL",1200,"y","n",3
"Paris Basin","FrCaptL",1300,"y","n",3
"Paris Basin","FrValoE",1400,"y","n",3
"Paris Basin","FrValoL",1500,"y","n",3
"Paris Basin","FrBurbE",1600,"y","n",3
"Paris Basin","FrBurbL",1700,"y","n",3
"Iceland","IsCommw",1000,"y","n",3
"Iceland","IsCommw",1100,"y","n",3
"Iceland","IsCommw",1200,"y","n",3
"Iceland","NorKing",1300,"y","n",3
"Crete","GrCrNeo",-7000,"y","n",2
"Crete","GrCrNeo",-6900,"n","n",2
"Crete","GrCrNeo",-6800,"n","n",2
"Crete","GrCrNeo",-6700,"n","n",2
"Crete","GrCrNeo",-6600,"n","n",2
"Crete","GrCrNeo",-6500,"n","n",2
"Crete","GrCrNeo",-6400,"n","n",2
"Crete","GrCrNeo",-6300,"n","n",2
"Crete","GrCrNeo",-6200,"n","n",2
"Crete","GrCrNeo",-6100,"n","n",2
"Crete","GrCrNeo",-6000,"n","n",2
"Crete","GrCrNeo",-5900,"n","n",2
"Crete","GrCrNeo",-5800,"y","n",2
"Crete","GrCrNeo",-5700,"n","n",2
"Crete","GrCrNeo",-5600,"n","n",2
"Crete","GrCrNeo",-5500,"n","n",2
"Crete","GrCrNeo",-5400,"n","n",2
"Crete","GrCrNeo",-5300,"n","n",2
"Crete","GrCrNeo",-5200,"y","n",2
"Crete","GrCrNeo",-5100,"n","n",2
"Crete","GrCrNeo",-5000,"n","n",3
"Crete","GrCrNeo",-4900,"n","n",3
"Crete","GrCrNeo",-4800,"y","n",3
"Crete","GrCrNeo",-4700,"n","n",3
"Crete","GrCrNeo",-4600,"n","n",3
"Crete","GrCrNeo",-4500,"n","n",3
"Crete","GrCrNeo",-4400,"n","n",3
"Crete","GrCrNeo",-4300,"n","n",3
"Crete","GrCrNeo",-4200,"n","n",3
"Crete","GrCrNeo",-4100,"n","n",3
"Crete","GrCrNeo",-4000,"n","n",3
"Crete","GrCrNeo",-3900,"n","n",3
"Crete","GrCrNeo",-3800,"n","n",3
"Crete","GrCrNeo",-3700,"n","n",3
"Crete","GrCrNeo",-3600,"n","n",3
"Crete","GrCrNeo",-3500,"n","n",3
"Crete","GrCrNeo",-3400,"n","n",3
"Crete","GrCrNeo",-3300,"n","n",3
"Crete","GrCrNeo",-3200,"n","n",3
"Crete","GrCrNeo",-3100,"n","n",3
"Crete","GrCrPre",-3000,"y","n",3
"Crete","GrCrPre",-2900,"n","n",3
"Crete","GrCrPre",-2800,"n","n",3
"Crete","GrCrPre",-2700,"n","n",3
"Crete","GrCrPre",-2600,"n","n",3
"Crete","GrCrPre",-2500,"n","n",3
"Crete","GrCrPre",-2400,"y","n",3
"Crete","GrCrPre",-2300,"n","n",3
"Crete","GrCrPre",-2200,"n","n",3
"Crete","GrCrPre",-2100,"y","n",3
"Crete","GrCrPre",-2000,"n","n",3
"Crete","GrCrOPa",-1900,"y","n",3
"Crete","GrCrOPa",-1800,"n","n",3
"Crete","GrCrNPa",-1700,"y","n",3
"Crete","GrCrNPa",-1600,"n","n",3
"Crete","GrCrNPa",-1500,"n","n",3
"Crete","GrCrMPa",-1400,"y","n",3
"Crete","GrCrPPa",-1300,"y","n",3
"Crete","GrCrFPa",-1200,"y","n",3
"Crete","GrCrFPa",-1100,"n","n",3
"Crete","GrCrGeo",-1000,"y","n",3
"Crete","GrCrGeo",-900,"n","n",3
"Crete","GrCrGeo",-800,"n","n",3
"Crete","GrCrArc",-700,"y","n",3
"Crete","GrCrArc",-600,"n","n",3
"Crete","GrCrCls",-500,"y","n",3
"Crete","GrCrCls",-400,"n","n",3
"Crete","GrCrHel",-300,"y","n",3
"Crete","GrCrHel",-200,"n","n",3
"Crete","GrCrHel",-100,"n","n",3
"Crete","ItRomPr",0,"y","y",3
"Crete","ItRomPr",100,"n","y",3
"Crete","ItRomPr",200,"n","y",3
"Crete","TrRomDm",300,"y","y",3
"Crete","TrERom*",400,"y","y",3
"Crete","TrERom*",500,"n","y",2
"Crete","TrERom*",600,"n","y",2
"Crete","TrByzM1",700,"y","y",2
"Crete","TrByzM1",800,"n","y",2
"Crete","GrCrEmr",900,"y","n",2
"Crete","TrByzM2",1000,"y","y",2
"Crete","TrByzM3",1100,"y","n",2
"Crete","TrByzM3",1200,"y","n",2
"Crete","ItVenR3",1300,"y","n",3
"Crete","ItVenR3",1400,"n","n",3
"Crete","ItVenR3",1500,"n","n",3
"Crete","ItVenR4",1600,"y","n",3
"Crete","TrOttm4",1700,"y","y",3
"Crete","TrOttm4",1800,"n","y",3
"Upper Egypt","EgBadar",-4400,"y","n",3
"Upper Egypt","EgBadar",-4300,"n","n",3
"Upper Egypt","EgBadar",-4200,"n","n",3
"Upper Egypt","EgBadar",-4100,"n","n",3
"Upper Egypt","EgBadar",-4000,"n","n",3
"Upper Egypt","EgBadar",-3900,"n","n",3
"Upper Egypt","EgNaqa1",-3800,"y","n",3
"Upper Egypt","EgNaqa1",-3700,"y","n",3
"Upper Egypt","EgNaqa1",-3600,"y","n",3
"Upper Egypt","EgNaqa2",-3500,"y","n",3
"Upper Egypt","EgNaqa2",-3400,"y","n",3
"Upper Egypt","EgNaqa3",-3300,"y","n",3
"Upper Egypt","EgNaqa3",-3200,"n","n",3
"Upper Egypt","EgDyn1*",-3100,"y","n",3
"Upper Egypt","EgDyn1*",-3000,"n","n",2
"Upper Egypt","EgDyn2*",-2900,"y","n",2
"Upper Egypt","EgDyn2*",-2800,"y","n",2
"Upper Egypt","EgDyn2*",-2700,"y","n",2
"Upper Egypt","EgOldK1",-2600,"y","n",2
"Upper Egypt","EgOldK1",-2500,"n","n",2
"Upper Egypt","EgOldK1",-2400,"n","n",2
"Upper Egypt","EgOldK2",-2300,"y","n",2
"Upper Egypt","EgOldK2",-2200,"n","n",2
"Upper Egypt","EgRegns",-2100,"y","n",2
"Upper Egypt","EgMidKg",-2000,"y","n",2
"Upper Egypt","EgMidKg",-1900,"y","n",2
"Upper Egypt","EgMidKg",-1800,"y","n",2
"Upper Egypt","EgThebH",-1700,"y","n",2
"Upper Egypt","EgThebH",-1600,"n","n",2
"Upper Egypt","EgNKThu",-1500,"y","n",2
"Upper Egypt","EgNKThu",-1400,"y","n",2
"Upper Egypt","EgNKThu",-1300,"y","n",2
"Upper Egypt","EgNKRam",-1200,"y","n",2
"Upper Egypt","EgNKRam",-1100,"y","n",2
"Upper Egypt","EgThebL",-1000,"y","n",2
"Upper Egypt","EgThebL",-900,"y","n",2
"Upper Egypt","EgThebL",-800,"n","n",2
"Upper Egypt","SdKusht",-700,"y","n",2
"Upper Egypt","EgSaite",-600,"y","n",2
"Upper Egypt","IrAchae",-500,"y","y",3
"Upper Egypt","EgIntOc",-400,"y","n",3
"Upper Egypt","EgPtol1",-300,"y","n",3
"Upper Egypt","EgPtol2",-200,"y","n",3
"Upper Egypt","EgPtol2",-100,"y","n",3
"Upper Egypt","ItRomPr",0,"y","y",3
"Upper Egypt","ItRomPr",100,"n","y",3
"Upper Egypt","ItRomPr",200,"n","y",3
"Upper Egypt","TrRomDm",300,"y","y",3
"Upper Egypt","TrERom*",400,"y","y",3
"Upper Egypt","TrERom*",500,"n","y",3
"Upper Egypt","TrERom*",600,"n","y",3
"Upper Egypt","SyCalUm",700,"y","y",3
"Upper Egypt","IqAbbs1",800,"y","y",3
"Upper Egypt","EgTulIk",900,"y","n",3
"Upper Egypt","TnFatim",1000,"y","n",3
"Upper Egypt","TnFatim",1100,"y","n",3
"Upper Egypt","EgAyyub",1200,"y","n",3
"Upper Egypt","EgMamBh",1300,"y","n",3
"Upper Egypt","EgMamCP",1400,"y","n",3
"Upper Egypt","EgMamBu",1500,"y","n",3
"Upper Egypt","TrOttm3",1600,"y","y",3
"Upper Egypt","TrOttm4",1700,"y","y",2
"Niger Inland Delta","MlJeJe1",-200,"y","n",3
"Niger Inland Delta","MlJeJe1",-100,"n","n",3
"Niger Inland Delta","MlJeJe1",0,"n","n",3
"Niger Inland Delta","MlJeJe2",100,"y","n",3
"Niger Inland Delta","MlJeJe2",200,"n","n",3
"Niger Inland Delta","MlJeJe2",300,"n","n",3
"Niger Inland Delta","MlJeJe3",400,"y","n",3
"Niger Inland Delta","MlJeJe3",500,"n","n",3
"Niger Inland Delta","MlJeJe3",600,"n","n",3
"Niger Inland Delta","MlJeJe3",700,"n","n",3
"Niger Inland Delta","MlJeJe3",800,"n","n",3
"Niger Inland Delta","MlJeJe4",900,"y","n",3
"Niger Inland Delta","MrWagdM",1000,"y","n",3
"Niger Inland Delta","MrWagdL",1100,"y","n",3
"Niger Inland Delta","MrWagdL",1200,"n","n",3
"Niger Inland Delta","MlMali*",1300,"y","n",2
"Niger Inland Delta","MlMali*",1400,"y","n",2
"Niger Inland Delta","MlSong2",1500,"y","n",2
"Niger Inland Delta","MaSaadi",1600,"y","n",2
"Niger Inland Delta","MlSegou",1700,"y","n",2
"Niger Inland Delta","MlBaman",1800,"y","n",2
"Ghanaian Coast","GhAshnE",1600,"y","n",2
"Ghanaian Coast","GhAshnE",1700,"y","n",2
"Ghanaian Coast","GhAshnL",1800,"y","n",2
"Southern Mesopotamia","IqSoNeo",-9000,"y","n",1
"Southern Mesopotamia","IqSoNeo",-8900,"n","n",1
"Southern Mesopotamia","IqSoNeo",-8800,"n","n",1
"Southern Mesopotamia","IqSoNeo",-8700,"n","n",1
"Southern Mesopotamia","IqSoNeo",-8600,"n","n",1
"Southern Mesopotamia","IqSoNeo",-8500,"n","n",1
"Southern Mesopotamia","IqSoNeo",-8400,"n","n",1
"Southern Mesopotamia","IqSoNeo",-8300,"n","n",1
"Southern Mesopotamia","IqSoNeo",-8200,"n","n",1
"Southern Mesopotamia","IqSoNeo",-8100,"n","n",1
"Southern Mesopotamia","IqSoNeo",-8000,"n","n",1
"Southern Mesopotamia","IqSoNeo",-7900,"n","n",1
"Southern Mesopotamia","IqSoNeo",-7800,"n","n",1
"Southern Mesopotamia","IqSoNeo",-7700,"n","n",1
"Southern Mesopotamia","IqSoNeo",-7600,"n","n",1
"Southern Mesopotamia","IqSoNeo",-7500,"n","n",1
"Southern Mesopotamia","IqSoNeo",-7400,"n","n",1
"Southern Mesopotamia","IqSoNeo",-7300,"n","n",1
"Southern Mesopotamia","IqSoNeo",-7200,"n","n",1
"Southern Mesopotamia","IqSoNeo",-7100,"n","n",1
"Southern Mesopotamia","IqSoNeo",-7000,"n","n",2
"Southern Mesopotamia","IqSoNeo",-6900,"n","n",2
"Southern Mesopotamia","IqSoNeo",-6800,"n","n",2
"Southern Mesopotamia","IqSoNeo",-6700,"n","n",2
"Southern Mesopotamia","IqSoNeo",-6600,"n","n",2
"Southern Mesopotamia","IqSoNeo",-6500,"n","n",2
"Southern Mesopotamia","IqSoNeo",-6400,"n","n",2
"Southern Mesopotamia","IqSoNeo",-6300,"n","n",2
"Southern Mesopotamia","IqSoNeo",-6200,"n","n",2
"Southern Mesopotamia","IqSoNeo",-6100,"n","n",2
"Southern Mesopotamia","IqSoNeo",-6000,"n","n",2
"Southern Mesopotamia","IqSoNeo",-5900,"n","n",2
"Southern Mesopotamia","IqSoNeo",-5800,"n","n",2
"Southern Mesopotamia","IqSoNeo",-5700,"n","n",2
"Southern Mesopotamia","IqSoNeo",-5600,"n","n",2
"Southern Mesopotamia","IqUbaid",-5500,"y","n",2
"Southern Mesopotamia","IqUbaid",-5400,"n","n",2
"Southern Mesopotamia","IqUbaid",-5300,"n","n",2
"Southern Mesopotamia","IqUbaid",-5200,"n","n",2
"Southern Mesopotamia","IqUbaid",-5100,"n","n",2
"Southern Mesopotamia","IqUbaid",-5000,"n","n",3
"Southern Mesopotamia","IqUbaid",-4900,"n","n",3
"Southern Mesopotamia","IqUbaid",-4800,"n","n",3
"Southern Mesopotamia","IqUbaid",-4700,"n","n",3
"Southern Mesopotamia","IqUbaid",-4600,"n","n",3
"Southern Mesopotamia","IqUbaid",-4500,"n","n",3
"Southern Mesopotamia","IqUbaid",-4400,"n","n",3
"Southern Mesopotamia","IqUbaid",-4300,"n","n",3
"Southern Mesopotamia","IqUruk*",-4200,"y","n",3
"Southern Mesopotamia","IqUruk*",-4100,"n","n",3
"Southern Mesopotamia","IqUruk*",-4000,"n","n",3
"Southern Mesopotamia","IqUruk*",-3900,"n","n",3
"Southern Mesopotamia","IqUruk*",-3800,"n","n",3
"Southern Mesopotamia","IqUruk*",-3700,"n","n",3
"Southern Mesopotamia","IqUruk*",-3600,"n","n",3
"Southern Mesopotamia","IqUruk*",-3500,"y","n",3
"Southern Mesopotamia","IqUruk*",-3400,"n","n",3
"Southern Mesopotamia","IqUruk*",-3300,"n","n",3
"Southern Mesopotamia","IqUruk*",-3200,"n","n",3
"Southern Mesopotamia","IqUruk*",-3100,"n","n",3
"Southern Mesopotamia","IqUruk*",-3000,"n","n",3
"Southern Mesopotamia","IqEDyn*",-2900,"y","n",3
"Southern Mesopotamia","IqEDyn*",-2800,"n","n",3
"Southern Mesopotamia","IqEDyn*",-2700,"n","n",3
"Southern Mesopotamia","IqEDyn*",-2600,"n","n",3
"Southern Mesopotamia","IqEDyn*",-2500,"n","n",3
"Southern Mesopotamia","IqEDyn*",-2400,"n","n",3
"Southern Mesopotamia","IqAkkad",-2300,"y","n",3
"Southern Mesopotamia","IqAkkad",-2200,"y","n",3
"Southern Mesopotamia","IqUrIII",-2100,"y","n",3
"Southern Mesopotamia","IqIsinL",-2000,"y","n",3
"Southern Mesopotamia","IqIsinL",-1900,"n","n",3
"Southern Mesopotamia","IqBabAm",-1800,"y","n",3
"Southern Mesopotamia","IqBabAm",-1700,"n","n",3
"Southern Mesopotamia","IqBabAm",-1600,"n","n",3
"Southern Mesopotamia","IqBabKs",-1500,"y","n",3
"Southern Mesopotamia","IqBabKs",-1400,"n","n",3
"Southern Mesopotamia","IqBabKs",-1300,"n","n",3
"Southern Mesopotamia","IqBabKs",-1200,"n","n",3
"Southern Mesopotamia","IqIsin2",-1100,"y","n",3
"Southern Mesopotamia","IqBazi*",-1000,"y","n",3
"Southern Mesopotamia","IqDynE*",-900,"y","n",3
"Southern Mesopotamia","IqDynE*",-800,"n","n",3
"Southern Mesopotamia","IqNAssr",-700,"y","n",3
"Southern Mesopotamia","IqNeoBb",-600,"y","n",3
"Southern Mesopotamia","IrAchae",-500,"y","y",3
"Southern Mesopotamia","IrAchae",-400,"n","y",3
"Southern Mesopotamia","IrSeleu",-300,"y","y",3
"Southern Mesopotamia","IrSeleu",-200,"n","y",3
"Southern Mesopotamia","IrPart1",-100,"y","y",3
"Southern Mesopotamia","IrPart1",0,"n","y",3
"Southern Mesopotamia","IrPart2",100,"y","n",3
"Southern Mesopotamia","IrPart2",200,"y","n",3
"Southern Mesopotamia","IrSasn1",300,"y","y",3
"Southern Mesopotamia","IrSasn1",400,"n","y",3
"Southern Mesopotamia","IrSasn2",500,"y","y",3
"Southern Mesopotamia","IrSasn2",600,"n","y",3
"Southern Mesopotamia","SyCalUm",700,"y","n",3
"Southern Mesopotamia","IqAbbs1",800,"y","n",3
"Southern Mesopotamia","IqAbbs1",900,"y","n",3
"Southern Mesopotamia","IrBuyid",1000,"y","y",3
"Southern Mesopotamia","IrSeljq",1100,"y","y",3
"Southern Mesopotamia","IqAbbs2",1200,"y","n",3
"Southern Mesopotamia","IrIlkhn",1300,"y","y",3
"Southern Mesopotamia","UzTimur",1400,"y","y",3
"Southern Mesopotamia","IrSafvd",1500,"y","y",3
"Southern Mesopotamia","TrOttm3",1600,"y","y",3
"Southern Mesopotamia","TrOttm4",1700,"y","y",3
"Southern Mesopotamia","TrOttm4",1800,"n","y",3
"Susiana","IrPrCer",-7800,"y","n",2
"Susiana","IrPrCer",-7700,"n","n",2
"Susiana","IrPrCer",-7600,"n","n",2
"Susiana","IrPrCer",-7500,"n","n",2
"Susiana","IrPrCer",-7400,"n","n",2
"Susiana","IrPrCer",-7300,"n","n",2
"Susiana","IrForma",-7200,"y","n",2
"Susiana","IrForma",-7100,"n","n",2
"Susiana","IrArcha",-7000,"y","n",3
"Susiana","IrArcha",-6900,"n","n",3
"Susiana","IrArcha",-6800,"n","n",3
"Susiana","IrArcha",-6700,"n","n",3
"Susiana","IrArcha",-6600,"n","n",3
"Susiana","IrArcha",-6500,"n","n",3
"Susiana","IrArcha",-6400,"n","n",3
"Susiana","IrArcha",-6300,"n","n",3
"Susiana","IrArcha",-6200,"n","n",3
"Susiana","IrArcha",-6100,"n","n",3
"Susiana","IrKhzE*",-6000,"y","n",3
"Susiana","IrKhzE*",-5900,"n","n",3
"Susiana","IrKhzE*",-5800,"n","n",3
"Susiana","IrKhzEM",-5700,"y","n",3
"Susiana","IrKhzEM",-5600,"n","n",3
"Susiana","IrKhzEM",-5500,"n","n",3
"Susiana","IrKhzEM",-5400,"n","n",3
"Susiana","IrKhzEM",-5300,"n","n",3
"Susiana","IrKhzEM",-5200,"n","n",3
"Susiana","IrKhzM*",-5100,"y","n",3
"Susiana","IrKhzM*",-5000,"n","n",2
"Susiana","IrKhzM*",-4900,"y","n",2
"Susiana","IrKhzM*",-4800,"n","n",2
"Susiana","IrKhzL*",-4700,"y","n",2
"Susiana","IrKhzL*",-4600,"n","n",2
"Susiana","IrKhzL*",-4500,"n","n",2
"Susiana","IrKhzL*",-4400,"n","n",2
"Susiana","IrSusa1",-4300,"y","n",2
"Susiana","IrSusa1",-4200,"n","n",2
"Susiana","IrSusa1",-4100,"n","n",2
"Susiana","IrSusa1",-4000,"n","n",2
"Susiana","IrSusa1",-3900,"y","n",2
"Susiana","IrSusa2",-3800,"y","n",2
"Susiana","IrSusa2",-3700,"y","n",2
"Susiana","IrSusa2",-3600,"y","n",2
"Susiana","IrSusa2",-3500,"y","n",2
"Susiana","IrSusa2",-3400,"y","n",2
"Susiana","IrSusa2",-3300,"n","n",2
"Susiana","IrSusa2",-3200,"y","n",2
"Susiana","IrSusa3",-3100,"y","n",2
"Susiana","IrSusa3",-3000,"n","n",3
"Susiana","IrSusa3",-2900,"n","n",3
"Susiana","IrSusa3",-2800,"n","n",3
"Susiana","IrSusa3",-2700,"n","n",3
"Susiana","IrAwanE",-2600,"y","n",3
"Susiana","IrAwanE",-2500,"n","n",3
"Susiana","IrAwanE",-2400,"n","n",3
"Susiana","IrAwanE",-2300,"n","n",3
"Susiana","IqAkkad",-2200,"y","y",3
"Susiana","IqUrIII",-2100,"y","y",3
"Susiana","IrShima",-2000,"y","n",3
"Susiana","IrSukkE",-1900,"y","n",3
"Susiana","IrSukkE",-1800,"n","n",3
"Susiana","IrSukkL",-1700,"y","n",3
"Susiana","IrSukkL",-1600,"y","n",3
"Susiana","IrMElm1",-1500,"y","n",3
"Susiana","IrMElm2",-1400,"y","n",3
"Susiana","IrMElm2",-1300,"y","n",3
"Susiana","IrMElm3",-1200,"y","n",3
"Susiana","IrElmCP",-1100,"y","n",3
"Susiana","IrElmCP",-1000,"n","n",3
"Susiana","IrNElm1",-900,"y","n",3
"Susiana","IrNElm1",-800,"n","n",3
"Susiana","IrNElm2",-700,"y","n",3
"Susiana","IrNElm3",-600,"y","n",3
"Susiana","IrAchae",-500,"y","n",3
"Susiana","IrAchae",-400,"y","n",3
"Susiana","IrSeleu",-300,"y","n",3
"Susiana","IrSeleu",-200,"y","n",3
"Susiana","IrPart1",-100,"y","n",3
"Susiana","IrPart1",0,"y","n",3
"Susiana","IrElym2",100,"y","n",3
"Susiana","IrElym2",200,"n","n",3
"Susiana","IrSasn1",300,"y","n",3
"Susiana","IrSasn1",400,"y","n",3
"Susiana","IrSasn2",500,"y","n",3
"Susiana","IrSasn2",600,"y","n",3
"Susiana","SyCalUm",700,"y","y",3
"Susiana","IqAbbs1",800,"y","y",3
"Susiana","IqAbbs1",900,"n","y",3
"Susiana","IrBuyid",1000,"y","n",3
"Susiana","IrSeljq",1100,"y","n",3
"Susiana","IqAbbs2",1200,"y","y",3
"Susiana","IrIlkhn",1300,"y","n",3
"Susiana","UzTimur",1400,"y","y",3
"Susiana","IrAkKoy",1500,"y","n",3
"Susiana","IrSafvd",1600,"y","n",3
"Susiana","IrSafvd",1700,"n","n",3
"Susiana","IrQajar",1800,"y","n",3
"Susiana","IrQajar",1900,"y","n",3
"Galilee","IlCanaa",-2000,"y","n",3
"Galilee","IlCanaa",-1900,"n","n",3
"Galilee","IlCanaa",-1800,"y","n",3
"Galilee","IlCanaa",-1700,"n","n",3
"Galilee","IlCanaa",-1600,"n","n",3
"Galilee","IlCanaa",-1500,"y","n",3
"Galilee","IlCanaa",-1400,"n","n",3
"Galilee","IlCanaa",-1300,"n","n",3
"Galilee","IlCanaa",-1200,"n","n",3
"Galilee","LbAcPho",-1100,"y","n",3
"Galilee","IlYisrl",-1000,"y","n",3
"Galilee","IlYisrl",-900,"y","n",3
"Galilee","IlYisrl",-800,"y","n",3
"Galilee","IqNAssr",-700,"y","y",3
"Galilee","IqNeoBb",-600,"y","y",3
"Galilee","IrAchae",-500,"y","y",3
"Galilee","IrAchae",-400,"n","y",3
"Galilee","EgPtol1",-300,"y","y",3
"Galilee","EgPtol1",-200,"n","y",3
"Galilee","IrSeleu",-200,"y","y",3
